"","subject_id","trial_id","cb","prob0","prob1","prob2","prob3","scenario","A","B","E","S","answer","trialtype","structure","ans","node","node2","node3","pgroup","include","sampled_variable","Observed"
"1","01vl5soqs7","1_c2",1,"80%","50%","10%","50%","cook",1,0,0,0,"The person wanted to eat the dessert","c2","conjunctive",3,"Au","Au=1","Au=1","1",TRUE,"A=0","FALSE"
"2","01vl5soqs7","1_d4",0,"10%","50%","80%","50%","group",1,0,0,1,"The first student had not had a good morning","d4","disjunctive",4,"Au","Au=0","Au=0","1",TRUE,"A=1","FALSE"
"3","01vl5soqs7","1_d5",1,"80%","50%","10%","50%","cook",0,1,1,1,"The person wanted to eat the dessert","d5","disjunctive",3,"Au","Au=1","Au=1","1",TRUE,"Au=1","FALSE"
"4","01vl5soqs7","1_d7",1,"80%","50%","10%","50%","cook",1,1,1,1,"The person wanted to eat the main dish","d7","disjunctive",7,"Bu","Bu=1","Bu=1","1",TRUE,"Au=1","FALSE"
"5","01vl5soqs7","2_d5",0,"50%","10%","50%","80%","group",1,0,1,1,"The first student had had a good morning","d5","disjunctive",3,"Au","Au=1","Au=1","2",TRUE,"Au=1","FALSE"
"6","01vl5soqs7","3_c1",1,"80%","50%","10%","70%","job",0,0,0,0,"The presented did not present Feature B","c1","conjunctive",2,"A","A","A=0","3",TRUE,"Bu=0","TRUE"
"7","01vl5soqs7","3_c2",0,"10%","70%","80%","50%","cook",0,1,0,0,"The main dish was not on the menu","c2","conjunctive",2,"A","A","A=0","3",TRUE,"Bu=0","TRUE"
"8","01vl5soqs7","3_c4",1,"80%","50%","10%","70%","group",1,1,0,0,"The first student had not had a good morning","c4","conjunctive",8,"Bu","Bu=0","Bu=0","3",TRUE,"Bu=0","FALSE"
"9","01vl5soqs7","3_c5",0,"10%","70%","80%","50%","group",1,1,1,0,"The second student had had a good morning","c5","conjunctive",7,"Bu","Bu=1","Bu=1","3",TRUE,"A=1","FALSE"
"10","01vl5soqs7","3_d1",0,"10%","70%","80%","50%","job",0,0,0,1,"The files underlying Feature B were corrupted","d1","disjunctive",8,"Bu","Bu=0","Bu=0","3",TRUE,"Bu=1","FALSE"
"11","01vl5soqs7","3_d4",1,"80%","50%","10%","70%","group",0,1,0,1,"The second student had not had a good morning","d4","disjunctive",4,"Au","Au=0","Au=0","3",TRUE,"Bu=0","FALSE"
"12","01vl5soqs7","3_d6",1,"80%","50%","10%","70%","job",1,1,0,1,"The files underlying Feature A were corrupted","d6","disjunctive",8,"Bu","Bu=0","Bu=0","3",TRUE,"Au=0","FALSE"
"13","06j6drlj5j","1_c2",1,"80%","50%","10%","50%","cook",1,0,0,0,"The dessert was not on the menu","c2","conjunctive",2,"A","A","A=0","1",FALSE,"Au=0","TRUE"
"14","06j6drlj5j","1_c4",0,"10%","50%","80%","50%","group",1,1,0,0,"The first student attended","c4","conjunctive",1,"A","A","A=1","1",TRUE,"Bu=0","TRUE"
